  t   x   y   T
000 033 006 0.00 
000 034 006 0.00 
000 035 006 0.00 
000 036 006 0.00 
000 037 006 0.00 
000 038 006 0.00 
000 039 006 0.00 
000 040 006 0.00 
000 041 006 0.00 
000 042 006 0.00 
000 043 006 0.00 
000 044 006 0.00 
000 045 006 0.00 
000 046 006 0.00 
000 047 006 0.00 
000 048 006 0.00 
000 049 006 0.00 
000 050 006 0.00 
000 000 007 0.00 
000 001 007 0.00 
000 002 007 0.00 
000 003 007 0.00 
000 004 007 0.00 
000 005 007 0.00 
000 006 007 0.00 
000 007 007 0.00 
000 008 007 0.00 
000 009 007 0.00 
000 010 007 0.00 
000 011 007 0.00 
000 012 007 0.00 
000 013 007 0.00 
000 014 007 0.00 
000 015 007 0.00 
000 016 007 0.00 
000 017 007 0.00 
000 018 007 0.00 
000 019 007 0.00 
000 020 007 0.00 
000 021 007 0.00 
000 022 007 0.00 
000 023 007 0.00 
000 024 007 0.00 
000 025 007 0.00 
000 026 007 0.00 
000 027 007 0.00 
000 028 007 0.00 
000 029 007 0.00 
000 030 007 0.00 
000 031 007 0.00 
000 032 007 0.00 
000 033 007 0.00 
000 034 007 0.00 
000 035 007 0.00 
000 036 007 0.00 
000 037 007 0.00 
000 038 007 0.00 
000 039 007 0.00 
000 040 007 0.00 
000 041 007 0.00 
000 042 007 0.00 
000 043 007 0.00 
000 044 007 0.00 
000 045 007 0.00 
000 046 007 0.00 
000 047 007 0.00 
000 048 007 0.00 
000 049 007 0.00 
000 050 007 0.00 
000 000 008 0.00 
000 001 008 0.00 
000 002 008 0.00 
000 003 008 0.00 
000 004 008 0.00 
000 005 008 0.00 
000 006 008 0.00 
000 007 008 0.00 
000 008 008 0.00 
000 009 008 0.00 
000 010 008 0.00 
000 011 008 0.00 
000 012 008 0.00 
000 013 008 0.00 
000 014 008 0.00 
000 015 008 0.00 
000 016 008 0.00 
000 017 008 0.00 
000 018 008 0.00 
000 019 008 0.00 
000 020 008 0.00 
000 021 008 0.00 
000 022 008 0.00 
000 023 008 0.00 
000 024 008 0.00 
000 025 008 0.00 
000 026 008 0.00 
000 027 008 0.00 
000 028 008 0.00 
000 029 008 0.00 
000 030 008 0.00 
000 031 008 0.00 
000 032 008 0.00 
000 033 008 0.00 
000 034 008 0.00 
000 035 008 0.00 
000 036 008 0.00 
000 037 008 0.00 
000 038 008 0.00 
000 039 008 0.00 
000 040 008 0.00 
000 041 008 0.00 
000 042 008 0.00 
000 043 008 0.00 
000 044 008 0.00 
000 045 008 0.00 
000 046 008 0.00 
000 047 008 0.00 
000 048 008 0.00 
000 049 008 0.00 
000 050 008 0.00 
000 000 009 0.00 
000 001 009 0.00 
000 002 009 0.00 
000 003 009 0.00 
000 004 009 0.00 
000 005 009 0.00 
000 006 009 0.00 
000 007 009 0.00 
000 008 009 0.00 
000 009 009 0.00 
000 010 009 0.00 
000 011 009 0.00 
000 012 009 0.00 
000 013 009 0.00 
000 014 009 0.00 
000 015 009 0.00 
000 016 009 0.00 
000 017 009 0.00 
000 018 009 0.00 
000 019 009 0.00 
000 020 009 0.00 
000 021 009 0.00 
000 022 009 0.00 
000 023 009 0.00 
000 024 009 0.00 
000 025 009 0.00 
000 026 009 0.00 
000 027 009 0.00 
000 028 009 0.00 
000 029 009 0.00 
000 030 009 0.00 
000 031 009 0.00 
000 032 009 0.00 
000 033 009 0.00 
000 034 009 0.00 
000 035 009 0.00 
000 036 009 0.00 
000 037 009 0.00 
000 038 009 0.00 
000 039 009 0.00 
000 040 009 0.00 
000 041 009 0.00 
000 042 009 0.00 
000 043 009 0.00 
000 044 009 0.00 
000 045 009 0.00 
000 046 009 0.00 
000 047 009 0.00 
000 048 009 0.00 
000 049 009 0.00 
000 050 009 0.00 
000 000 010 0.00 
000 001 010 0.00 
000 002 010 0.00 
000 003 010 0.00 
000 004 010 0.00 
000 005 010 0.00 
000 006 010 0.00 
000 007 010 0.00 
000 008 010 0.00 
000 009 010 0.00 
000 010 010 0.00 
000 011 010 0.00 
000 012 010 0.00 
000 013 010 0.00 
000 014 010 0.00 
000 015 010 0.00 
000 016 010 0.00 
000 017 010 0.00 
000 018 010 0.00 
000 019 010 0.00 
000 020 010 0.00 
000 021 010 0.00 
000 022 010 0.00 
000 023 010 0.00 
000 024 010 0.00 
000 025 010 0.00 
000 026 010 0.00 
000 027 010 0.00 
000 028 010 0.00 
000 029 010 0.00 
000 030 010 0.00 
000 031 010 0.00 
000 032 010 0.00 
000 033 010 0.00 
000 034 010 0.00 
000 035 010 0.00 
000 036 010 0.00 
000 037 010 0.00 
000 038 010 0.00 
000 039 010 0.00 
000 040 010 0.00 
000 041 010 0.00 
000 042 010 0.00 
000 043 010 0.00 
000 044 010 0.00 
000 045 010 0.00 
000 046 010 0.00 
000 047 010 0.00 
000 048 010 0.00 
000 049 010 0.00 
000 050 010 0.00 
000 000 011 0.00 
000 001 011 0.00 
000 002 011 0.00 
000 003 011 0.00 
000 004 011 0.00 
000 005 011 0.00 
000 006 011 0.00 
000 007 011 0.00 
000 008 011 0.00 
000 009 011 0.00 
000 010 011 0.00 
000 021 011 0.00 
000 022 011 0.00 
000 023 011 0.00 
000 024 011 0.00 
000 025 011 0.00 
000 026 011 0.00 
000 027 011 0.00 
000 028 011 0.00 
000 029 011 0.00 
000 030 011 0.00 
000 031 011 0.00 
000 032 011 0.00 
000 033 011 0.00 
000 034 011 0.00 
000 035 011 0.00 
000 036 011 0.00 
000 037 011 0.00 
000 038 011 0.00 
000 039 011 0.00 
000 040 011 0.00 
000 041 011 0.00 
000 042 011 0.00 
000 043 011 0.00 
000 044 011 0.00 
000 045 011 0.00 
000 046 011 0.00 
000 047 011 0.00 
000 048 011 0.00 
000 049 011 0.00 
000 050 011 0.00 
000 000 012 0.00 
000 001 012 0.00 
000 002 012 0.00 
000 003 012 0.00 
000 004 012 0.00 
000 005 012 0.00 
000 006 012 0.00 
000 007 012 0.00 
000 008 012 0.00 
000 009 012 0.00 
000 010 012 0.00 
000 021 012 0.00 
000 022 012 0.00 
000 023 012 0.00 
000 024 012 0.00 
000 025 012 0.00 
000 026 012 0.00 
000 027 012 0.00 
000 028 012 0.00 
000 029 012 0.00 
000 030 012 0.00 
000 031 012 0.00 
000 032 012 0.00 
000 033 012 0.00 
000 034 012 0.00 
000 035 012 0.00 
000 036 012 0.00 
000 037 012 0.00 
000 038 012 0.00 
000 039 012 0.00 
000 040 012 0.00 
000 041 012 0.00 
000 042 012 0.00 
000 043 012 0.00 
000 044 012 0.00 
000 045 012 0.00 
000 046 012 0.00 
000 047 012 0.00 
000 048 012 0.00 
000 049 012 0.00 
000 050 012 0.00 
000 000 013 0.00 
000 001 013 0.00 
000 002 013 0.00 
000 003 013 0.00 
000 004 013 0.00 
000 005 013 0.00 
000 006 013 0.00 
000 007 013 0.00 
000 008 013 0.00 
000 009 013 0.00 
000 010 013 0.00 
000 021 013 0.00 
000 022 013 0.00 
000 023 013 0.00 
000 024 013 0.00 
000 025 013 0.00 
000 026 013 0.00 
000 027 013 0.00 
000 028 013 0.00 
000 029 013 0.00 
000 030 013 0.00 
000 031 013 0.00 
000 032 013 0.00 
000 033 013 0.00 
000 034 013 0.00 
000 035 013 0.00 
000 036 013 0.00 
000 037 013 0.00 
000 038 013 0.00 
000 039 013 0.00 
000 040 013 0.00 
000 041 013 0.00 
000 042 013 0.00 
000 043 013 0.00 
000 044 013 0.00 
000 045 013 0.00 
000 046 013 0.00 
000 047 013 0.00 
000 048 013 0.00 
000 049 013 0.00 
000 050 013 0.00 
000 000 014 0.00 
000 001 014 0.00 
000 002 014 0.00 
000 003 014 0.00 
000 004 014 0.00 
000 005 014 0.00 
000 006 014 0.00 
000 007 014 0.00 
000 008 014 0.00 
000 009 014 0.00 
000 010 014 0.00 
000 021 014 0.00 
000 022 014 0.00 
000 023 014 0.00 
000 024 014 0.00 
000 025 014 0.00 
000 026 014 0.00 
000 027 014 0.00 
000 028 014 0.00 
000 029 014 0.00 
000 030 014 0.00 
000 031 014 0.00 
000 032 014 0.00 
000 033 014 0.00 
000 034 014 0.00 
000 035 014 0.00 
000 036 014 0.00 
000 037 014 0.00 
000 038 014 0.00 
000 039 014 0.00 
000 040 014 0.00 
000 041 014 0.00 
000 042 014 0.00 
000 043 014 0.00 
000 044 014 0.00 
000 045 014 0.00 
000 046 014 0.00 
000 047 014 0.00 
000 048 014 0.00 
000 049 014 0.00 
000 050 014 0.00 
000 000 015 0.00 
000 001 015 0.00 
000 002 015 0.00 
000 003 015 0.00 
000 004 015 0.00 
000 005 015 0.00 
000 006 015 0.00 
000 007 015 0.00 
000 008 015 0.00 
000 009 015 0.00 
000 010 015 0.00 
000 021 015 0.00 
000 022 015 0.00 
000 023 015 0.00 
000 024 015 0.00 
000 025 015 0.00 
000 026 015 0.00 
000 027 015 0.00 
000 028 015 0.00 
000 029 015 0.00 
000 030 015 0.00 
000 031 015 0.00 
000 032 015 0.00 
000 033 015 0.00 
000 034 015 0.00 
000 035 015 0.00 
000 036 015 0.00 
000 037 015 0.00 
000 038 015 0.00 
000 039 015 0.00 
000 040 015 0.00 
000 041 015 0.00 
000 042 015 0.00 
000 043 015 0.00 
000 044 015 0.00 
000 045 015 0.00 
000 046 015 0.00 
000 047 015 0.00 
000 048 015 0.00 
000 049 015 0.00 
000 050 015 0.00 
000 000 016 0.00 
000 001 016 0.00 
000 002 016 0.00 
000 003 016 0.00 
000 004 016 0.00 
000 005 016 0.00 
000 006 016 0.00 
000 007 016 0.00 
000 008 016 0.00 
000 009 016 0.00 
000 010 016 0.00 
000 021 016 0.00 
000 022 016 0.00 
000 023 016 0.00 
000 024 016 0.00 
000 025 016 0.00 
000 026 016 0.00 
000 027 016 0.00 
000 028 016 0.00 
000 029 016 0.00 
000 030 016 0.00 
000 031 016 0.00 
000 032 016 0.00 
000 033 016 0.00 
000 034 016 0.00 
000 035 016 0.00 
000 036 016 0.00 
000 037 016 0.00 
000 038 016 0.00 
000 039 016 0.00 
000 040 016 0.00 
000 041 016 0.00 
000 042 016 0.00 
000 043 016 0.00 
000 044 016 0.00 
000 045 016 0.00 
000 046 016 0.00 
000 047 016 0.00 
000 048 016 0.00 
000 049 016 0.00 
000 050 016 0.00 
000 000 017 0.00 
000 001 017 0.00 
000 002 017 0.00 
000 003 017 0.00 
000 004 017 0.00 
000 005 017 0.00 
000 006 017 0.00 
000 007 017 0.00 
000 008 017 0.00 
000 009 017 0.00 
000 010 017 0.00 
000 021 017 0.00 
000 022 017 0.00 
000 023 017 0.00 
000 024 017 0.00 
000 025 017 0.00 
000 026 017 0.00 
000 027 017 0.00 
000 028 017 0.00 
000 029 017 0.00 
000 030 017 0.00 
000 031 017 0.00 
000 032 017 0.00 
000 033 017 0.00 
000 034 017 0.00 
000 035 017 0.00 
000 036 017 0.00 
000 037 017 0.00 
000 038 017 0.00 
000 039 017 0.00 
000 040 017 0.00 
000 041 017 0.00 
000 042 017 0.00 
000 043 017 0.00 
000 044 017 0.00 
000 045 017 0.00 
000 046 017 0.00 
000 047 017 0.00 
000 048 017 0.00 
000 049 017 0.00 
000 050 017 0.00 
000 000 018 0.00 
000 001 018 0.00 
000 002 018 0.00 
000 003 018 0.00 
000 004 018 0.00 
000 005 018 0.00 
000 006 018 0.00 
000 007 018 0.00 
000 008 018 0.00 
000 009 018 0.00 
000 010 018 0.00 
000 021 018 0.00 
000 022 018 0.00 
000 023 018 0.00 
000 024 018 0.00 
000 025 018 0.00 
000 026 018 0.00 
000 027 018 0.00 
000 028 018 0.00 
000 029 018 0.00 
000 030 018 0.00 
000 031 018 0.00 
000 032 018 0.00 
000 033 018 0.00 
000 034 018 0.00 
000 035 018 0.00 
000 036 018 0.00 
000 037 018 0.00 
000 038 018 0.00 
000 039 018 0.00 
000 040 018 0.00 
000 041 018 0.00 
000 042 018 0.00 
000 043 018 0.00 
000 044 018 0.00 
000 045 018 0.00 
000 046 018 0.00 
000 047 018 0.00 
000 048 018 0.00 
000 049 018 0.00 
000 050 018 0.00 
000 000 019 0.00 
000 001 019 0.00 
000 002 019 0.00 
000 003 019 0.00 
000 004 019 0.00 
000 005 019 0.00 
000 006 019 0.00 
000 007 019 0.00 
000 008 019 0.00 
000 009 019 0.00 
000 010 019 0.00 
000 021 019 0.00 
000 022 019 0.00 
000 023 019 0.00 
000 024 019 0.00 
000 025 019 0.00 
000 026 019 0.00 
000 027 019 0.00 
000 028 019 0.00 
000 029 019 0.00 
000 030 019 0.00 
000 031 019 0.00 
000 032 019 0.00 
000 033 019 0.00 
000 034 019 0.00 
000 035 019 0.00 
000 036 019 0.00 
000 037 019 0.00 
000 038 019 0.00 
000 039 019 0.00 
000 040 019 0.00 
000 041 019 0.00 
000 042 019 0.00 
000 043 019 0.00 
000 044 019 0.00 
000 045 019 0.00 
000 046 019 0.00 
000 047 019 0.00 
000 048 019 0.00 
000 049 019 0.00 
000 050 019 0.00 
000 000 020 0.00 
000 001 020 0.00 
000 002 020 0.00 
000 003 020 0.00 
000 004 020 0.00 
000 005 020 0.00 
000 006 020 0.00 
000 007 020 0.00 
000 008 020 0.00 
000 009 020 0.00 
000 010 020 0.00 
000 021 020 0.00 
000 022 020 0.00 
000 023 020 0.00 
000 024 020 0.00 
000 025 020 0.00 
000 026 020 0.00 
000 027 020 0.00 
000 028 020 0.00 
000 029 020 0.00 
000 030 020 0.00 
000 031 020 0.00 
000 032 020 0.00 
000 033 020 0.00 
000 034 020 0.00 
000 035 020 0.00 
000 036 020 0.00 
000 037 020 0.00 
000 038 020 0.00 
000 039 020 0.00 
000 040 020 0.00 
000 041 020 0.00 
000 042 020 0.00 
000 043 020 0.00 
000 044 020 0.00 
000 045 020 0.00 
000 046 020 0.00 
000 047 020 0.00 
000 048 020 0.00 
000 049 020 0.00 
000 050 020 0.00 
000 000 021 0.00 
000 001 021 0.00 
000 002 021 0.00 
000 003 021 0.00 
000 004 021 0.00 
000 005 021 0.00 
000 006 021 0.00 
000 007 021 0.00 
000 008 021 0.00 
000 009 021 0.00 
000 010 021 0.00 
000 011 021 0.00 
000 012 021 0.00 
000 013 021 0.00 
000 014 021 0.00 
000 015 021 0.00 
000 016 021 0.00 
000 017 021 0.00 
000 018 021 0.00 
000 019 021 0.00 
000 020 021 0.00 
000 021 021 0.00 
000 022 021 0.00 
000 023 021 0.00 
000 024 021 0.00 
000 025 021 0.00 
000 026 021 0.00 
000 027 021 0.00 
000 028 021 0.00 
000 029 021 0.00 
000 030 021 0.00 
000 031 021 0.00 
000 032 021 0.00 
000 033 021 0.00 
000 034 021 0.00 
000 035 021 0.00 
000 036 021 0.00 
000 037 021 0.00 
000 038 021 0.00 
000 039 021 0.00 
000 040 021 0.00 
000 041 021 0.00 
000 042 021 0.00 
000 043 021 0.00 
000 044 021 0.00 
000 045 021 0.00 
000 046 021 0.00 
000 047 021 0.00 
000 048 021 0.00 
000 049 021 0.00 
000 050 021 0.00 
000 000 022 0.00 
000 001 022 0.00 
000 002 022 0.00 
000 003 022 0.00 
000 004 022 0.00 
000 005 022 0.00 
000 006 022 0.00 
000 007 022 0.00 
000 008 022 0.00 
000 009 022 0.00 
000 010 022 0.00 
000 011 022 0.00 
000 012 022 0.00 
000 013 022 0.00 
000 014 022 0.00 
000 015 022 0.00 
000 016 022 0.00 
000 017 022 0.00 
000 018 022 0.00 
000 019 022 0.00 
000 020 022 0.00 
000 021 022 0.00 
000 022 022 0.00 
000 023 022 0.00 
000 024 022 0.00 
000 025 022 0.00 
000 026 022 0.00 
000 027 022 0.00 
000 028 022 0.00 
000 029 022 0.00 
000 030 022 0.00 
000 031 022 0.00 
000 032 022 0.00 
000 033 022 0.00 
000 034 022 0.00 
000 035 022 0.00 
000 036 022 0.00 
000 037 022 0.00 
000 038 022 0.00 
000 039 022 0.00 
000 040 022 0.00 
000 041 022 0.00 
000 042 022 0.00 
000 043 022 0.00 
000 044 022 0.00 
000 045 022 0.00 
000 046 022 0.00 
000 047 022 0.00 
000 048 022 0.00 
000 049 022 0.00 
000 050 022 0.00 
000 000 023 0.00 
000 001 023 0.00 
000 002 023 0.00 
000 003 023 0.00 
000 004 023 0.00 
000 005 023 0.00 
000 006 023 0.00 
000 007 023 0.00 
000 008 023 0.00 
000 009 023 0.00 
000 010 023 0.00 
000 011 023 0.00 
000 012 023 0.00 
000 013 023 0.00 
000 014 023 0.00 
000 015 023 0.00 
000 016 023 0.00 
000 017 023 0.00 
000 018 023 0.00 
000 019 023 0.00 
000 020 023 0.00 
000 021 023 0.00 
000 022 023 0.00 
000 023 023 0.00 
000 024 023 0.00 
000 025 023 0.00 
000 026 023 0.00 
000 027 023 0.00 
000 028 023 0.00 
000 029 023 0.00 
000 030 023 0.00 
000 031 023 0.00 
000 032 023 0.00 
000 033 023 0.00 
000 034 023 0.00 
000 035 023 0.00 
000 036 023 0.00 
000 037 023 0.00 
000 038 023 0.00 
000 039 023 0.00 
000 040 023 0.00 
000 041 023 0.00 
000 042 023 0.00 
000 043 023 0.00 
000 044 023 0.00 
000 045 023 0.00 
000 046 023 0.00 
000 047 023 0.00 
000 048 023 0.00 
000 049 023 0.00 
000 050 023 0.00 
000 000 024 0.00 
000 001 024 0.00 
000 002 024 0.00 
000 003 024 0.00 
000 004 024 0.00 
000 005 024 0.00 
000 006 024 0.00 
000 007 024 0.00 
000 008 024 0.00 
000 009 024 0.00 
000 010 024 0.00 
000 011 024 0.00 
000 012 024 0.00 
000 013 024 0.00 
000 014 024 0.00 
000 015 024 0.00 
000 016 024 0.00 
000 017 024 0.00 
000 018 024 0.00 
000 019 024 0.00 
000 020 024 0.00 
000 021 024 0.00 
000 022 024 0.00 
000 023 024 0.00 
000 024 024 0.00 
000 025 024 0.00 
000 026 024 0.00 
000 027 024 0.00 
000 028 024 0.00 
000 029 024 0.00 
000 030 024 0.00 
000 031 024 0.00 
000 032 024 0.00 
000 033 024 0.00 
000 034 024 0.00 
000 035 024 0.00 
000 036 024 0.00 
000 037 024 0.00 
000 038 024 0.00 
000 039 024 0.00 
000 040 024 0.00 
000 041 024 0.00 
000 042 024 0.00 
000 043 024 0.00 
000 044 024 0.00 
000 045 024 0.00 
000 046 024 0.00 
000 047 024 0.00 
000 048 024 0.00 
000 049 024 0.00 
000 050 024 0.00 
000 000 025 0.00 
000 001 025 0.00 
000 002 025 0.00 
000 003 025 0.00 
000 004 025 0.00 
000 005 025 0.00 
000 006 025 0.00 
000 007 025 0.00 
000 008 025 0.00 
000 009 025 0.00 
000 010 025 0.00 
000 011 025 0.00 
000 012 025 0.00 
000 013 025 0.00 
000 014 025 0.00 
000 015 025 0.00 
000 016 025 0.00 
000 017 025 0.00 
000 018 025 0.00 
000 019 025 0.00 
000 020 025 0.00 
000 021 025 0.00 
000 022 025 0.00 
000 023 025 0.00 
000 024 025 0.00 
000 025 025 0.00 
000 026 025 0.00 
000 027 025 0.00 
000 028 025 0.00 
000 029 025 0.00 
000 030 025 0.00 
000 031 025 0.00 
000 032 025 0.00 
000 033 025 0.00 
000 034 025 0.00 
000 035 025 0.00 
000 036 025 0.00 
000 037 025 0.00 
000 038 025 0.00 
000 039 025 0.00 
000 040 025 0.00 
000 041 025 0.00 
000 042 025 0.00 
000 043 025 0.00 
000 044 025 0.00 
000 045 025 0.00 
000 046 025 0.00 
000 047 025 0.00 
000 048 025 0.00 
000 049 025 0.00 
000 050 025 0.00 
000 000 026 0.00 
000 001 026 0.00 
000 002 026 0.00 
000 003 026 0.00 
000 004 026 0.00 
000 005 026 0.00 
000 006 026 0.00 
000 007 026 0.00 
000 008 026 0.00 
000 009 026 0.00 
000 010 026 0.00 
000 011 026 0.00 
000 012 026 0.00 
000 013 026 0.00 
000 014 026 0.00 
000 015 026 0.00 
000 016 026 0.00 
000 017 026 0.00 
000 018 026 0.00 
000 019 026 0.00 
000 020 026 0.00 
000 021 026 0.00 
000 022 026 0.00 
000 023 026 0.00 
000 024 026 0.00 
000 025 026 0.00 
000 026 026 0.00 
000 027 026 0.00 
000 028 026 0.00 
000 029 026 0.00 
000 030 026 0.00 
000 031 026 0.00 
000 032 026 0.00 
000 033 026 0.00 
000 034 026 0.00 
000 035 026 0.00 
000 036 026 0.00 
000 037 026 0.00 
000 038 026 0.00 
000 039 026 0.00 
000 040 026 0.00 
000 041 026 0.00 
000 042 026 0.00 
000 043 026 0.00 
000 044 026 0.00 
